ｻｰﾋﾞｽ種類,区名,介護保険事業所番号,申請者-法人名,事業所-名称,事業所-郵便番号,事業所-所在地,事業所-直通電話番号,事業所-FAX番号,状態区分,介護,予防,経度,緯度
居宅介護支援,中区,3470208186,株式会社あすか,居宅介護支援事業所あすか,730-0856,広島市中区河原町７番１０号２０１号室,082-942-2190,082-942-2191,現存,○,,132.2648159,34.23200636
居宅介護支援,中区,3470203369,社会福祉法人福祉広医会,悠悠タウン基町居宅介護支援事業所,730-0011,広島市中区基町１９番２－４１１号,082-502-7557,082-502-7966,現存,○,,132.2722816,34.24149297
居宅介護支援,中区,3470213459,株式会社NEWS,ニュース居宅介護支援事業所,730-0823,広島市中区吉島西一丁目７番２号,082-545-6688,082-545-6689,現存,○,,132.265227,34.22343572
居宅介護支援,中区,3470215967,合同会社望コーポレーション,望ケアプランセンター,730-0823,広島市中区吉島西三丁目13番9号,070-2616-6236,082-298-3221,現存,○,,132.2635177,34.22150734
居宅介護支援,中区,3470205752,社会福祉法人清恵会,居宅介護支援事業所おりーぶ,730-0822,広島市中区吉島東二丁目１７番５号,080-1900-4488,082-545-8830,現存,○,,132.2658805,34.22111567
居宅介護支援,中区,3470212436,オフィスたいよう合同会社,オフィスたいよう広島中央,730-0015,広島市中区橋本町１０番１号４F,082-511-0577,082-511-0578,現存,○,,132.2806716,34.23363607
居宅介護支援,中区,3470201538,医療法人あかね会,土谷居宅介護支援事業所光南,730-0825,広島市中区光南一丁目４番６号,082-504-3202,082-545-1124,現存,○,,132.2650411,34.22062468
居宅介護支援,中区,3470215546,株式会社ひなた,ケアプランセンターひなた吉島,730-0825,広島市中区光南二丁目３番４５号,082-236-8586,082-236-6126,現存,○,,132.264165,34.22104999
居宅介護支援,中区,3470206511,有限会社アネシス,あっとほーむ居宅介護支援事業所,730-0804,広島市中区広瀬町３番２９号,082-297-5350,082-297-5351,現存,○,,132.2644124,34.24023052
居宅介護支援,中区,3470203658,サンキ・ウエルビィ株式会社,サンキ・ウエルビィ介護センター中央,730-0804,広島市中区広瀬町５番２７号,082-503-0821,082-503-0822,現存,○,,132.2648256,34.23591024
居宅介護支援,中区,3470210794,株式会社ニチイ学館,ニチイケアセンター江波,730-0831,広島市中区江波西一丁目２８番１０号,082-297-8027,082-297-8028,現存,○,,132.2605703,34.22115492
居宅介護支援,中区,3470215678,株式会社ひなた,ケアプランセンターひなた江波,730-0831,広島市中区江波西一丁目６番５７号アイエスビル江波西２０１,082-554-5808,082-553-0733,現存,○,,132.2605444,34.22278881
居宅介護支援,中区,3470200241,社会福祉法人福祉広医会,悠悠タウン江波居宅介護支援事業所,730-0831,広島市中区江波西二丁目１４番８号,082-296-4880,082-296-4818,現存,○,,132.2544231,34.22049335
居宅介護支援,中区,3470212493,株式会社オフィス心絆,こころねケアプランサポート,730-0835,広島市中区江波南三丁目１２番８号コーポ原田２０１号室,082-207-3100,082-207-3101,現存,○,,132.2552602,34.21479588
居宅介護支援,中区,3470207337,サンキ・ウエルビィ株式会社,サンキ・ウエルビィ介護センター江波,730-0834,広島市中区江波二本松一丁目１０番３号,082-503-5851,082-503-5852,現存,○,,132.2556887,34.22085381
居宅介護支援,中区,3470200027,有限会社ケアネット広島,有限会社ケアネット広島居宅介護支援事業所,730-0834,広島市中区江波二本松二丁目１番３号１階,082-294-5517,082-232-5320,現存,○,,132.2600133,34.22059095
居宅介護支援,中区,3470215538,医療法人社団生和会,たかの橋居宅介護支援事業所,730-0042,広島市中区国泰寺町二丁目４番１６号,082-205-5308,082-504-6640,現存,○,,132.271606,34.23007107
